Performing system checks...

System check identified no issues (0 silenced).
November 02, 2023 - 02:06:01
Django version 4.2.6, using settings 'mysite.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CONTROL-C.

compra ejecutada - SL: 15310.25
compra ejecutada - TK: 15325.25
compra ejecutada - Precio: 15316.5
compra ejecutada - SL: 15309.5
compra ejecutada - TK: 15323.5
compra ejecutada - Precio: 15315.5
compra ejecutada - SL: 15307.5
compra ejecutada - TK: 15323.5
venta ejecutada - Precio: 15318.25
venta ejecutada - SL: 15324.5
venta ejecutada - TK: 15312.0
venta ejecutada - Precio: 15322.75
venta ejecutada - SL: 15325.5
venta ejecutada - TK: 15320.0
venta ejecutada - Precio: 15320.5
venta ejecutada - SL: 15326.5
venta ejecutada - TK: 15314.5
venta ejecutada - Precio: 15319.25
venta ejecutada - SL: 15323.0
venta ejecutada - TK: 15315.5
venta ejecutada - Precio: 15321.75
venta ejecutada - SL: 15326.25
venta ejecutada - TK: 15317.25
venta ejecutada - Precio: 15340.25
venta ejecutada - SL: 15343.75
venta ejecutada - TK: 15336.75
venta ejecutada - Precio: 15342.75
venta ejecutada - SL: 15347.0
venta ejecutada - TK: 15338.5
venta ejecutada - Precio: 15346.25
venta ejecutada - SL: 15349.75
venta ejecutada - TK: 15342.75
compra ejecutada - Precio: 15346.0
compra ejecutada - SL: 15342.25
compra ejecutada - TK: 15349.75
venta ejecutada - Precio: 15364.75
venta ejecutada - SL: 15367.5
venta ejecutada - TK: 15362.0
compra ejecutada - Precio: 15356.75
compra ejecutada - SL: 15354.75
compra ejecutada - TK: 15358.75
venta ejecutada - Precio: 15357.25
venta ejecutada - SL: 15360.0
venta ejecutada - TK: 15354.5
compra ejecutada - Precio: 15347.5
compra ejecutada - SL: 15344.75
compra ejecutada - TK: 15350.25
venta ejecutada - Precio: 15348.25
venta ejecutada - SL: 15350.75
venta ejecutada - TK: 15345.75
venta ejecutada - Precio: 15349.5
venta ejecutada - SL: 15350.75
venta ejecutada - TK: 15348.25
venta ejecutada - Precio: 15350.25
venta ejecutada - SL: 15351.5
venta ejecutada - TK: 15349.0
compra ejecutada - Precio: 15346.75
compra ejecutada - SL: 15345.25
compra ejecutada - TK: 15348.25
venta ejecutada - Precio: 15355.75
venta ejecutada - SL: 15356.5
venta ejecutada - TK: 15355.0
compra ejecutada - Precio: 15352.0
compra ejecutada - SL: 15351.0
compra ejecutada - TK: 15353.0
compra ejecutada - Precio: 15352.0
compra ejecutada - SL: 15350.25
compra ejecutada - TK: 15353.75
compra ejecutada - Precio: 15346.5
compra ejecutada - SL: 15344.0
compra ejecutada - TK: 15349.0
compra ejecutada - Precio: 15346.25
compra ejecutada - SL: 15345.0
compra ejecutada - TK: 15347.5
compra ejecutada - Precio: 15345.5
compra ejecutada - SL: 15343.5
compra ejecutada - TK: 15347.5
venta ejecutada - Precio: 15346.25
venta ejecutada - SL: 15347.25
venta ejecutada - TK: 15345.25
venta ejecutada - Precio: 15415.75
venta ejecutada - SL: 15422.75
venta ejecutada - TK: 15408.75
compra ejecutada - Precio: 15419.25
compra ejecutada - SL: 15417.75
compra ejecutada - TK: 15420.75
compra ejecutada - Precio: 15412.75
compra ejecutada - SL: 15406.25
compra ejecutada - TK: 15419.25
compra ejecutada - Precio: 15405.0
compra ejecutada - SL: 15397.25
compra ejecutada - TK: 15412.75
compra ejecutada - Precio: 15391.25
compra ejecutada - SL: 15381.75
compra ejecutada - TK: 15400.75
compra ejecutada - Precio: 15371.0
compra ejecutada - SL: 15364.25
compra ejecutada - TK: 15377.75
compra ejecutada - Precio: 15363.0
compra ejecutada - SL: 15356.25
compra ejecutada - TK: 15369.75
venta ejecutada - Precio: 15372.25
venta ejecutada - SL: 15377.0
venta ejecutada - TK: 15367.5
compra ejecutada - Precio: 15362.0
compra ejecutada - SL: 15356.5
compra ejecutada - TK: 15367.5
venta ejecutada - Precio: 15372.5
venta ejecutada - SL: 15377.0
venta ejecutada - TK: 15368.0
venta ejecutada - Precio: 15377.75
venta ejecutada - SL: 15380.5
venta ejecutada - TK: 15375.0
venta ejecutada - Precio: 15353.5
venta ejecutada - SL: 15358.0
venta ejecutada - TK: 15349.0
compra ejecutada - Precio: 15353.25
compra ejecutada - SL: 15345.0
compra ejecutada - TK: 15361.5
venta ejecutada - Precio: 15370.5
venta ejecutada - SL: 15373.75
venta ejecutada - TK: 15367.25
venta ejecutada - Precio: 15371.25
venta ejecutada - SL: 15376.75
venta ejecutada - TK: 15365.75
compra ejecutada - Precio: 15347.25
compra ejecutada - SL: 15344.5
compra ejecutada - TK: 15350.0
compra ejecutada - Precio: 15351.25
compra ejecutada - SL: 15339.75
compra ejecutada - TK: 15362.75
venta ejecutada - Precio: 15370.0
venta ejecutada - SL: 15371.5
venta ejecutada - TK: 15368.5
venta ejecutada - Precio: 15370.5
venta ejecutada - SL: 15373.0
venta ejecutada - TK: 15368.0
venta ejecutada - Precio: 15378.5
venta ejecutada - SL: 15380.5
venta ejecutada - TK: 15376.5
compra ejecutada - Precio: 15370.25
compra ejecutada - SL: 15364.75
compra ejecutada - TK: 15375.75
compra ejecutada - Precio: 15366.75
compra ejecutada - SL: 15364.25
compra ejecutada - TK: 15369.25
compra ejecutada - Precio: 15361.75
compra ejecutada - SL: 15358.5
compra ejecutada - TK: 15365.0
venta ejecutada - Precio: 15363.25
venta ejecutada - SL: 15366.75
venta ejecutada - TK: 15359.75
venta ejecutada - Precio: 15370.25
venta ejecutada - SL: 15371.0
venta ejecutada - TK: 15369.5
venta ejecutada - Precio: 15365.0
venta ejecutada - SL: 15373.75
venta ejecutada - TK: 15356.25
venta ejecutada - Precio: 15379.0
venta ejecutada - SL: 15388.5
venta ejecutada - TK: 15369.5
venta ejecutada - Precio: 15376.75
venta ejecutada - SL: 15381.75
venta ejecutada - TK: 15371.75
compra ejecutada - Precio: 15352.75
compra ejecutada - SL: 15344.5
compra ejecutada - TK: 15361.0
venta ejecutada - Precio: 15347.25
venta ejecutada - SL: 15351.0
venta ejecutada - TK: 15343.5
venta ejecutada - Precio: 15351.75
venta ejecutada - SL: 15353.5
venta ejecutada - TK: 15350.0
compra ejecutada - Precio: 15355.0
compra ejecutada - SL: 15343.0
compra ejecutada - TK: 15367.0
venta ejecutada - Precio: 15370.75
venta ejecutada - SL: 15375.75
venta ejecutada - TK: 15365.75
venta ejecutada - Precio: 15377.5
venta ejecutada - SL: 15385.0
venta ejecutada - TK: 15370.0
venta ejecutada - Precio: 15375.25
venta ejecutada - SL: 15378.5
venta ejecutada - TK: 15372.0
venta ejecutada - Precio: 15378.5
venta ejecutada - SL: 15387.5
venta ejecutada - TK: 15369.5
compra ejecutada - Precio: 15373.75
compra ejecutada - SL: 15368.5
compra ejecutada - TK: 15379.0
venta ejecutada - Precio: 15377.25
venta ejecutada - SL: 15382.25
venta ejecutada - TK: 15372.25
venta ejecutada - Precio: 15379.75
venta ejecutada - SL: 15382.25
venta ejecutada - TK: 15377.25
venta ejecutada - Precio: 15384.5
venta ejecutada - SL: 15391.75
venta ejecutada - TK: 15377.25
compra ejecutada - Precio: 15379.25
compra ejecutada - SL: 15376.25
compra ejecutada - TK: 15382.25
compra ejecutada - Precio: 15379.25
compra ejecutada - SL: 15371.5
compra ejecutada - TK: 15387.0
venta ejecutada - Precio: 15382.5
venta ejecutada - SL: 15387.25
venta ejecutada - TK: 15377.75
compra ejecutada - Precio: 15368.0
compra ejecutada - SL: 15361.25
compra ejecutada - TK: 15374.75
compra ejecutada - Precio: 15129.5
compra ejecutada - SL: 15111.0
compra ejecutada - TK: 15148.0
venta ejecutada - Precio: 15140.0
venta ejecutada - SL: 15146.75
venta ejecutada - TK: 15133.25
compra ejecutada - Precio: 15152.5
compra ejecutada - SL: 15142.75
compra ejecutada - TK: 15162.25
venta ejecutada - Precio: 15161.75
venta ejecutada - SL: 15165.0
venta ejecutada - TK: 15158.5
compra ejecutada - Precio: 15159.5
compra ejecutada - SL: 15153.25
compra ejecutada - TK: 15165.75
compra ejecutada - Precio: 15144.75
compra ejecutada - SL: 15137.75
compra ejecutada - TK: 15151.75
compra ejecutada - Precio: 15123.5
compra ejecutada - SL: 15119.25
compra ejecutada - TK: 15127.75
compra ejecutada - Precio: 15121.0
compra ejecutada - SL: 15114.25
compra ejecutada - TK: 15127.75
compra ejecutada - Precio: 15134.75
compra ejecutada - SL: 15116.0
compra ejecutada - TK: 15153.5
venta ejecutada - Precio: 15162.0
venta ejecutada - SL: 15168.25
venta ejecutada - TK: 15155.75
venta ejecutada - Precio: 15166.25
venta ejecutada - SL: 15169.75
venta ejecutada - TK: 15162.75
compra ejecutada - Precio: 15162.5
compra ejecutada - SL: 15159.75
compra ejecutada - TK: 15165.25
compra ejecutada - Precio: 15167.5
compra ejecutada - SL: 15155.75
compra ejecutada - TK: 15179.25
compra ejecutada - Precio: 15159.5
compra ejecutada - SL: 15151.75
compra ejecutada - TK: 15167.25
venta ejecutada - Precio: 15174.0
venta ejecutada - SL: 15177.75
venta ejecutada - TK: 15170.25
venta ejecutada - Precio: 15184.25
venta ejecutada - SL: 15190.25
venta ejecutada - TK: 15178.25
venta ejecutada - Precio: 15184.0
venta ejecutada - SL: 15190.5
venta ejecutada - TK: 15177.5
venta ejecutada - Precio: 15205.5
venta ejecutada - SL: 15207.0
venta ejecutada - TK: 15204.0
venta ejecutada - Precio: 15204.0
venta ejecutada - SL: 15209.0
venta ejecutada - TK: 15199.0
compra ejecutada - Precio: 15207.5
compra ejecutada - SL: 15200.75
compra ejecutada - TK: 15214.25
venta ejecutada - Precio: 15218.5
venta ejecutada - SL: 15223.5
venta ejecutada - TK: 15213.5
venta ejecutada - Precio: 15216.5
venta ejecutada - SL: 15228.0
venta ejecutada - TK: 15205.0
venta ejecutada - Precio: 15220.75
venta ejecutada - SL: 15229.75
venta ejecutada - TK: 15211.75
venta ejecutada - Precio: 15228.0
venta ejecutada - SL: 15232.5
venta ejecutada - TK: 15223.5
compra ejecutada - Precio: 15211.5
compra ejecutada - SL: 15204.75
compra ejecutada - TK: 15218.25
compra ejecutada - Precio: 15199.0
compra ejecutada - SL: 15190.75
compra ejecutada - TK: 15207.25
venta ejecutada - Precio: 15220.25
venta ejecutada - SL: 15231.25
venta ejecutada - TK: 15209.25
compra ejecutada - Precio: 15220.25
compra ejecutada - SL: 15215.25
compra ejecutada - TK: 15225.25
compra ejecutada - Precio: 15221.25
compra ejecutada - SL: 15212.5
compra ejecutada - TK: 15230.0
compra ejecutada - Precio: 15225.0
compra ejecutada - SL: 15213.5
compra ejecutada - TK: 15236.5
compra ejecutada - Precio: 15223.75
compra ejecutada - SL: 15217.75
compra ejecutada - TK: 15229.75
compra ejecutada - Precio: 15237.0
compra ejecutada - SL: 15224.5
compra ejecutada - TK: 15249.5
compra ejecutada - Precio: 15248.75
compra ejecutada - SL: 15241.5
compra ejecutada - TK: 15256.0
compra ejecutada - Precio: 15238.75
compra ejecutada - SL: 15233.0
compra ejecutada - TK: 15244.5
venta ejecutada - Precio: 15237.25
venta ejecutada - SL: 15240.25
venta ejecutada - TK: 15234.25
venta ejecutada - Precio: 15240.75
venta ejecutada - SL: 15245.0
venta ejecutada - TK: 15236.5
compra ejecutada - Precio: 15234.5
compra ejecutada - SL: 15227.5
compra ejecutada - TK: 15241.5
venta ejecutada - Precio: 15230.5
venta ejecutada - SL: 15242.25
venta ejecutada - TK: 15218.75
venta ejecutada - Precio: 15237.75
venta ejecutada - SL: 15247.75
venta ejecutada - TK: 15227.75
venta ejecutada - Precio: 15238.25
venta ejecutada - SL: 15241.75
venta ejecutada - TK: 15234.75
compra ejecutada - Precio: 15265.5
compra ejecutada - SL: 15254.25
compra ejecutada - TK: 15276.75
venta ejecutada - Precio: 15266.5
venta ejecutada - SL: 15278.5
venta ejecutada - TK: 15254.5
compra ejecutada - Precio: 15264.25
compra ejecutada - SL: 15252.25
compra ejecutada - TK: 15276.25
compra ejecutada - Precio: 15235.0
compra ejecutada - SL: 15220.0
compra ejecutada - TK: 15250.0
compra ejecutada - Precio: 15219.0
compra ejecutada - SL: 15209.0
compra ejecutada - TK: 15229.0
venta ejecutada - Precio: 15211.25
venta ejecutada - SL: 15219.75
venta ejecutada - TK: 15202.75
venta ejecutada - Precio: 15232.0
venta ejecutada - SL: 15245.75
venta ejecutada - TK: 15218.25
compra ejecutada - Precio: 15229.5
compra ejecutada - SL: 15216.25
compra ejecutada - TK: 15242.75
compra ejecutada - Precio: 15252.5
compra ejecutada - SL: 15244.75
compra ejecutada - TK: 15260.25
compra ejecutada - Precio: 15253.5
compra ejecutada - SL: 15245.0
compra ejecutada - TK: 15262.0
compra ejecutada - Precio: 15250.0
compra ejecutada - SL: 15243.25
compra ejecutada - TK: 15256.75
venta ejecutada - Precio: 15250.75
venta ejecutada - SL: 15258.75
venta ejecutada - TK: 15242.75
venta ejecutada - Precio: 15250.0
venta ejecutada - SL: 15255.25
venta ejecutada - TK: 15244.75
compra ejecutada - Precio: 15252.75
compra ejecutada - SL: 15241.0
compra ejecutada - TK: 15264.5
venta ejecutada - Precio: 15265.0
venta ejecutada - SL: 15272.25
venta ejecutada - TK: 15257.75
venta ejecutada - Precio: 15291.25
venta ejecutada - SL: 15294.0
venta ejecutada - TK: 15288.5
venta ejecutada - Precio: 15298.75
venta ejecutada - SL: 15304.5
venta ejecutada - TK: 15293.0
venta ejecutada - Precio: 15302.5
venta ejecutada - SL: 15304.75
venta ejecutada - TK: 15300.25
compra ejecutada - Precio: 15297.75
compra ejecutada - SL: 15289.0
compra ejecutada - TK: 15306.5
compra ejecutada - Precio: 15331.75
compra ejecutada - SL: 15323.25
compra ejecutada - TK: 15340.25
compra ejecutada - Precio: 15328.25
compra ejecutada - SL: 15322.0
compra ejecutada - TK: 15334.5
venta ejecutada - Precio: 15341.75
venta ejecutada - SL: 15346.75
venta ejecutada - TK: 15336.75
venta ejecutada - Precio: 15346.25
venta ejecutada - SL: 15350.0
venta ejecutada - TK: 15342.5
compra ejecutada - Precio: 15346.25
compra ejecutada - SL: 15340.75
compra ejecutada - TK: 15351.75
venta ejecutada - Precio: 15350.25
venta ejecutada - SL: 15352.75
venta ejecutada - TK: 15347.75
compra ejecutada - Precio: 15344.75
compra ejecutada - SL: 15339.75
compra ejecutada - TK: 15349.75
compra ejecutada - Precio: 15344.5
compra ejecutada - SL: 15338.5
compra ejecutada - TK: 15350.5
compra ejecutada - Precio: 15326.75
compra ejecutada - SL: 15322.25
compra ejecutada - TK: 15331.25
venta ejecutada - Precio: 15328.25
venta ejecutada - SL: 15331.5
venta ejecutada - TK: 15325.0
venta ejecutada - Precio: 15325.25
venta ejecutada - SL: 15332.5
venta ejecutada - TK: 15318.0
venta ejecutada - Precio: 15323.0
venta ejecutada - SL: 15329.0
venta ejecutada - TK: 15317.0
venta ejecutada - Precio: 15327.5
venta ejecutada - SL: 15332.0
venta ejecutada - TK: 15323.0
compra ejecutada - Precio: 15325.25
compra ejecutada - SL: 15320.5
compra ejecutada - TK: 15330.0
compra ejecutada - Precio: 15322.0
compra ejecutada - SL: 15316.75
compra ejecutada - TK: 15327.25
compra ejecutada - Precio: 15316.75
compra ejecutada - SL: 15311.25
compra ejecutada - TK: 15322.25
compra ejecutada - Precio: 15309.5
compra ejecutada - SL: 15301.75
compra ejecutada - TK: 15317.25
compra ejecutada - Precio: 15297.0
compra ejecutada - SL: 15291.5
compra ejecutada - TK: 15302.5
venta ejecutada - Precio: 15301.25
venta ejecutada - SL: 15304.75
venta ejecutada - TK: 15297.75
venta ejecutada - Precio: 15299.25
venta ejecutada - SL: 15303.75
venta ejecutada - TK: 15294.75
compra ejecutada - Precio: 15294.75
compra ejecutada - SL: 15292.75
compra ejecutada - TK: 15296.75
compra ejecutada - Precio: 15294.0
compra ejecutada - SL: 15290.5
compra ejecutada - TK: 15297.5
compra ejecutada - Precio: 15292.5
compra ejecutada - SL: 15285.75
compra ejecutada - TK: 15299.25
compra ejecutada - Precio: 15272.5
compra ejecutada - SL: 15267.75
compra ejecutada - TK: 15277.25
compra ejecutada - Precio: 15255.75
compra ejecutada - SL: 15246.5
compra ejecutada - TK: 15265.0
compra ejecutada - Precio: 15204.25
compra ejecutada - SL: 15192.25
compra ejecutada - TK: 15216.25
venta ejecutada - Precio: 15165.25
venta ejecutada - SL: 15175.0
venta ejecutada - TK: 15155.5
venta ejecutada - Precio: 15162.5
venta ejecutada - SL: 15177.5
venta ejecutada - TK: 15147.5
venta ejecutada - Precio: 15192.0
venta ejecutada - SL: 15204.75
venta ejecutada - TK: 15179.25
venta ejecutada - Precio: 15158.25
venta ejecutada - SL: 15168.25
venta ejecutada - TK: 15148.25
venta ejecutada - Precio: 15151.0
venta ejecutada - SL: 15169.75
venta ejecutada - TK: 15132.25
venta ejecutada - Precio: 15156.25
venta ejecutada - SL: 15162.0
venta ejecutada - TK: 15150.5
compra ejecutada - Precio: 15135.0
compra ejecutada - SL: 15123.5
compra ejecutada - TK: 15146.5
venta ejecutada - Precio: 15147.75
venta ejecutada - SL: 15156.0
venta ejecutada - TK: 15139.5
venta ejecutada - Precio: 15154.25
venta ejecutada - SL: 15160.75
